Crop,Variety,TargetYield_t_ha,Formula_N,Formula_P2O5,Formula_K2O
Rice,Siddhi (WGL - 44),62,4.5*T - 0.3*SN,2.5*T - 2.0*SP,2.0*T - 0.2*SK
Rice,Samba masoori (BPT - 5204),60,4.5*T - 0.3*SN,2.5*T - 2.0*SP,2.0*T - 0.2*SK
Rice,Indra (MTU - 1061),58,4.0*T - 0.25*SN,2.2*T - 1.8*SP,1.8*T - 0.18*SK
Rice,Warangal Samba (WGL - 14),61,4.5*T - 0.3*SN,2.5*T - 2.0*SP,2.0*T - 0.2*SK
Rice,Warangal Sannalu (WGL - 32100),64,4.5*T - 0.3*SN,2.5*T - 2.0*SP,2.0*T - 0.2*SK
Rice,Jagatiala masoori (JGL - 11470),59,4.0*T - 0.25*SN,2.2*T - 1.8*SP,1.8*T - 0.18*SK
Rice,Polasa Prabha (JGL - 384),56,3.39*T - 0.28*SN,2.05*T - 2.89*SP,1.34*T - 0.17*SK
Rice,Krishna (RNR - 2458),65,4.5*T - 0.3*SN,2.5*T - 2.0*SP,2.0*T - 0.2*SK
Rice,Somnath (WGL - 347),60,4.5*T - 0.3*SN,2.5*T - 2.0*SP,2.0*T - 0.2*SK
Rice,Pranahitha (JGL - 11727),63,4.5*T - 0.3*SN,2.5*T - 2.0*SP,2.0*T - 0.2*SK
Rice,Maneru Sona (JGL - 3828),61,4.5*T - 0.3*SN,2.5*T - 2.0*SP,2.0*T - 0.2*SK
Rice,Telangana Vari - 2,57,4.0*T - 0.25*SN,2.2*T - 1.8*SP,1.8*T - 0.18*SK
Rice,Badhrakali (WGL - 3962),58,4.0*T - 0.25*SN,2.2*T - 1.8*SP,1.8*T - 0.18*SK
Rice,Surekha (WGL - 3962),58,4.0*T - 0.25*SN,2.2*T - 1.8*SP,1.8*T - 0.18*SK
Rice,Vijetha (MTU - 1001),48,3.39*T - 0.28*SN ,2.05*T - 2.89*SP,1.34*T - 0.17*SK
Rice,Warangal Rice - 1,55,4.0*T - 0.25*SN,2.2*T - 1.8*SP,1.8*T - 0.18*SK
Rice,Telangana Sona (RNR - 15048),70,4.5*T - 0.3*SN,2.5*T - 2.0*SP,2.0*T - 0.2*SK
Rice,Jagatiala Sannalu (JGL - 1798)),62,4.5*T - 0.3*SN,2.5*T - 2.0*SP,2.0*T - 0.2*SK
Rice,Jagityala Samba (JGL - 34449),63,4.5*T - 0.3*SN,2.5*T - 2.0*SP,2.0*T - 0.2*SK
Rice,Anjana (JGL - 11118),60,4.5*T - 0.3*SN,2.5*T - 2.0*SP,2.0*T - 0.2*SK
Rice,Nelloru Masoori (NLR - 34449),61,4.5*T - 0.3*SN,2.5*T - 2.0*SP,2.0*T - 0.2*SK
Rice,Telangana vari - 3 ,56,4.0*T - 0.25*SN,2.2*T - 1.8*SP,1.8*T - 0.18*SK
Rice,Kunaram Rice - 1,55,3.39*T - 0.28*SN,2.05*T - 2.89*SP,1.34*T - 0.17*SK
Rice,Jagityala Rice - 1,57,4.0*T - 0.25*SN,2.2*T - 1.8*SP,1.8*T - 0.18*SK
Rice,Kunaram Sannalu (KNM - 118),60,4.5*T - 0.3*SN,2.5*T - 2.0*SP,2.0*T - 0.2*SK
Rice,Bathukamma (JGL - 18047),64,4.5*T - 0.3*SN,2.5*T - 2.0*SP,2.0*T - 0.2*SK
Rice,Katan Dora sannalu (MTU1010),60,4.5*T - 0.3*SN,2.5*T - 2.0*SP,2.0*T - 0.2*SK
Rice,Tella Hamsa (RNR - 10754),63,4.5*T - 0.3*SN,2.5*T - 2.0*SP,2.0*T - 0.2*SK
Rice,IR - 64,75,4.5*T - 0.3*SN,2.5*T - 2.0*SP,2.0*T - 0.2*SK
Rice,Yerra mallelu (WGL - 20471),62,4.5*T - 0.3*SN,2.5*T - 2.0*SP,2.0*T - 0.2*SK
Rice,Sheetal (WGL - 283),57,4.0*T - 0.25*SN,2.2*T - 1.8*SP,1.8*T - 0.18*SK
Rice,Ramappa (WGL - 23985),63,4.5*T - 0.3*SN,2.5*T - 2.0*SP,2.0*T - 0.2*SK
Rice,Varalu (WGL - 14377),60,4.0*T - 0.25*SN,2.2*T - 1.8*SP,1.8*T - 0.18*SK
Rice,Rajendra (RNR - 12329),67,4.5*T - 0.3*SN,2.5*T - 2.0*SP,2.0*T - 0.2*SK
Rice,Pratyumna (JGL - 17004),62,4.5*T - 0.3*SN,2.5*T - 2.0*SP,2.0*T - 0.2*SK
Rice,Sumathi (RNR - 18833),65,4.5*T - 0.3*SN,2.5*T - 2.0*SP,2.0*T - 0.2*SK
Rice,Sugandha Samba (RNR - 2465),60,4.0*T - 0.25*SN,2.2*T - 1.8*SP,1.8*T - 0.18*SK
Rice,Sobhini (RNR - 2354),58,4.0*T - 0.25*SN,2.2*T - 1.8*SP,1.8*T - 0.18*SK
